analytic,cls_EulerSolver,cls_HeunSolver
28.1,32.5256,32.441,32.5471
28.2,32.4507,32.3667,32.4721
28.3,32.3766,32.2931,32.3978
28.4,32.3032,32.2202,32.3243
28.5,32.2305,32.1481,32.2515
28.6,32.1586,32.0767,32.1794
28.7,32.0874,32.006,32.1081
28.8,32.0168,31.936,32.0374
28.9,31.947,31.8667,31.9674
29,31.8779,31.7981,31.8982
29.1,31.8095,31.7302,31.8296
29.2,31.7417,31.6629,31.7617
29.3,31.6746,31.5964,31.6945
29.4,31.6082,31.5305,31.628
29.5,31.5425,31.4652,31.5621
29.6,31.4774,31.4007,31.4969
29.7,31.4129,31.3367,31.4323
29.8,31.3491,31.2734,31.3684
29.9,31.2859,31.2107,31.305
30,31.2234,31.1487,31.2424
30.1,31.1615,31.0873,31.1803
30.2,31.1002,31.0265,31.1189
30.3,31.0395,30.9663,31.0581
30.4,30.9794,30.9067,30.9979
30.5,30.9199,30.8476,30.9382
30.6,30.861,30.7892,30.8792
30.7,30.8026,30.7314,30.8208
30.8,30.7449,30.6741,30.7629
30.9,30.6877,30.6175,30.7056
31,30.6312,30.5613,30.6489
31.1,30.5751,30.5058,30.5928
31.2,30.5196,30.4508,30.5372
31.3,30.4647,30.3963,30.4821
31.4,30.4103,30.3424,30.4276
31.5,30.3565,30.289,30.3737
31.6,30.3032,30.2362,30.3203
31.7,30.2504,30.1839,30.2674
31.8,30.1982,30.1321,30.215
31.9,30.1465,30.0808,30.1632
32,30.0953,30.0301,30.1119
32.1,30.0446,29.9798,30.0611
32.2,29.9944,29.9301,30.0107
32.3,29.9447,29.8808,29.9609
32.4,29.8955,29.8321,29.9116
32.5,29.8468,29.7838,29.8628
32.6,29.7985,29.736,29.8145
32.7,29.7508,29.6887,29.7666
32.8,29.7035,29.6419,29.7192
32.9,29.6567,29.5955,29.6723
33,29.6104,29.5496,29.6259
33.1,29.5645,29.5041,29.5799
33.2,29.5191,29.4591,29.5344
