time,analytic,euler,heun
71.4,25.0991,25.0956,25.0991
71.5,25.0981,25.0946,25.0981
71.6,25.0971,25.0937,25.0971
71.7,25.0962,25.0928,25.0962
71.8,25.0952,25.0918,25.0952
71.9,25.0943,25.0909,25.0943
72,25.0933,25.09,25.0933
72.1,25.0924,25.0891,25.0924
72.2,25.0915,25.0882,25.0915
72.3,25.0906,25.0873,25.0906
72.4,25.0897,25.0865,25.0897
72.5,25.0888,25.0856,25.0888
72.6,25.0879,25.0847,25.0879
72.7,25.087,25.0839,25.087
72.8,25.0861,25.083,25.0862
72.9,25.0853,25.0822,25.0853
73,25.0844,25.0814,25.0845
73.1,25.0836,25.0806,25.0836
73.2,25.0828,25.0798,25.0828
73.3,25.0819,25.079,25.082
73.4,25.0811,25.0782,25.0811
73.5,25.0803,25.0774,25.0803
73.6,25.0795,25.0766,25.0795
73.7,25.0787,25.0759,25.0787
73.8,25.078,25.0751,25.078
73.9,25.0772,25.0744,25.0772
74,25.0764,25.0736,25.0764
74.1,25.0756,25.0729,25.0757
74.2,25.0749,25.0721,25.0749
74.3,25.0741,25.0714,25.0742
74.4,25.0734,25.0707,25.0734
74.5,25.0727,25.07,25.0727
74.6,25.072,25.0693,25.072
74.7,25.0712,25.0686,25.0712
74.8,25.0705,25.0679,25.0705
74.9,25.0698,25.0672,25.0698
75,25.0691,25.0666,25.0691
75.1,25.0684,25.0659,25.0685
75.2,25.0678,25.0652,25.0678
75.3,25.0671,25.0646,25.0671
75.4,25.0664,25.064,25.0664
75.5,25.0658,25.0633,25.0658
75.6,25.0651,25.0627,25.0651
75.7,25.0645,25.0621,25.0645
75.8,25.0638,25.0614,25.0638
75.9,25.0632,25.0608,25.0632
76,25.0626,25.0602,25.0626
